Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1986","1986","1000 ha","431","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1986","1986","1000 ha","30140","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1987","1987","1000 ha","31250","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1987","1987","1000 ha","421","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1987","1987","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1988","1988","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1988","1988","1000 ha","427","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1988","1988","1000 ha","29920","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1989","1989","1000 ha","30410","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1989","1989","1000 ha","450","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1989","1989","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1990","1990","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1990","1990","1000 ha","456","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1990","1990","1000 ha","29750","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1991","1991","1000 ha","29810","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1991","1991","1000 ha","460","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1991","1991","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1992","1992","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1992","1992","1000 ha","460","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1992","1992","1000 ha","29920","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1993","1993","1000 ha","30230","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1993","1993","1000 ha","520","Fm","Manual Estimation"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1993","1993","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1994","1994","1000 ha","5000","F","FAO estimate"
